Gene names,2015 Dill Mannan Late
Lmna,0.920366658
Lmnb1,1.095983327
Lmnb2,1.14938667
Lnpep,0.439286708
Loh12cr1,1.588766679
Lpcat2,0.398866648
Lpl,0.439156641
Lrp1,0.328706702
Lrp1b,0.156126676
Lrpap1,1.093766689
Lrpprc,0
Lrrc25,0.658073349
Lrrc57,1.457500022
Lrrc59,0.741156618
Lrrc8c,0
Lsp1,1.168306626
Lss,1.079163308
Ly86,1.813199916
Ly9,0.586166655
Lyn,0.60524661
Lypla2,0
Lyz1,0.903499991
Lyz2,1.063813312
M6pr,0.430556687
Macf1,0.723453325
Magt1,0
Man1a1,0.487043339
Man1c1,0
Man2a1,0.396033314
Man2b1,1.058570001
Man2b2,1.124460012
Manba,1.006196668
ManbaQ8K2I4,0.708543328
Manf,0.754496657
Map1s,0.376733335
Map2k1;Map2k2,1.328233329
Map2k4,0.746600008
Map3k11,0.173616672
Map4;Mtap4,0.781513336
Mapre1,1.772500152
Marc2;Mosc2,0.52251
Marcks,1.06313668
Marcksl1,0.990146682
Mark2,0
Matr3,0.563196678
Mavs,0
Mboat7,0.250990002
Mbp,1.056026665
Mcl1,0.834473334
Mcoln1,0.548376657
Mcoln2,0
Mdh1,0.798859986
Mdh2,0.511056643
Me2,0
Mef2bnb;2310045N01Rik,0.97296664
Mesdc2,0.180800002
Mettl3,0.53553334
Mettl7a1;Mettl7a2-Higd1c;Ubie;Mettl7a2;Mettl7a3;AB099516,0.673269987
Mfge8,1.090243336
Mfsd1,1.604999932
Mfsd12,1.14118332
Mfsd7,0
Mfsd8,1.325100041
Mgat1,0
Mgp,0
Mia3,0.726819994
Mic1,1.499366658
Milr1,0.539690059
Mki67,1.28944686
Mlec,1.122166656
Mlst8,0.947406581
Mob1b;Mob1a,0.734289981
Mob4,0.549666677
Mon1a,1.359099963
Mon1b,1.37679996
Mpdu1,0
Mpeg1,0.635813296
Mpo,0.886410023
Mpp1,1.199366652
Mrc1,0.425616605
Ms4a4c,0.529736677
Msn,0.793266669
Msr1,0.245106659
Msra,0.430333333
Mtatp8;mt-Atp8,0.611133342
Mtch2,0.435666684
Mtco1;mt-Co1,0.344779993
Mtco2;mt-Co2,0.934283311
Mtdh,0.566656671
Mtss1,0.482086678
Mvp,0.753253301
Myadm,1.217999955
Myh14,0.204250031
Myh9,0.552989956
Myl12a;Myl12b;Myl9,0.834133309
Myl3;Myl1,1.48837348
Myl6,1.219953317
Myo1c,0
Myo1e,0.701873343
Myo1f,1.099113299
Myo1g,0.748173337
Myo5a,0.616923362
Myof,0.359436598
Naaa,1.333500007
Naca,0.944003324
Naga,1.280449995
Naglu,0.96280001
Nagpa,0.569463323
Nap1l1,0
Napa,1.113376642
Napg,1.055176693
Napsa,1.552699998
Nceh1,1.103436701
Ncf1,0.607899978
Ncf2,0.350233315
Nckap1l,0.870780006
Ncl,0.399596638
Ncoa3,1.00538669
Ncor1,0.554450006
Ncstn,0.474906592
Nde1;Ndel1,1.229566734
Ndufa10,0.307996688
Ndufa4,0.721336656
Ndufa6,0.259473318
Ndufc2,0.538066652
Ndufs1,0.728756687
Ndufs2,0
Ndufs3,0
Ndufv1,0.809266701
Ndufv2,0
Neb,0.344283393
Necap2,1.017159977
Nek2,0.087636671
Neu1,1.037143361
Nfam1,0.340333344
Nfatc2ip,0
Nhlrc3,0.683653347
Nhp2l1,0.653866629
Nhsl2,0.405666676
Nin,0.306519996
Nipsnap3b,0
Nisch,0
Nmt1;Nmt2,0
Nob1,0.261303327
Nomo1,0
Nono,1.224499979
Npc1,1.37539998
Npc2,0.391353292
Npm1,0.63969335
Nptn,0.711610001
Nrp1,0.591159964
Nrp2,0.773643328
Nsdhl,0.942696683
Nsf,1.023550041
Nucb1,0.690363326
Nucb2,0.892626635
Nudc,0.540223339
Numa1,1.069016672
Numb,0.554433329
Numbl,1.014996664
Nup54,0.383633337
Nup62,0.72679999
Nutf2,0.228513341
Oas1a;Oas1g,0.694473364
Oas3,0.754966684
Oat,0.358976655
Ogdh,0.300363379
ORF3,0
Osbp,0.994626641
Osbpl11,1.564199989
Osbpl1a,0.717520059
Osbpl6,0.362879989
Osbpl8,0.569890038
Osbpl9,1.010846684
Ostf1,0.924276641
Ostm1,1.234766679
Otud7a,0.64865335
Oxct1,0.555756664
P2rx4,1.645233337
P2rx7,1.082249996
P33monox;4833439L19Rik,0
P4hb,0.909636688
Pa2g4,1.094340004
Pabpc1;Pabpc6,0.642689924
Paics,0.670849996
Paip1,0.678766674
Pak2,0.490709967
Parp1,0.918730005
Parp14,0
Pcbp1,1.162303289
Pcbp2;Pcbp3,0.399833317
Pcdhb2,0
Pck2,0.183196659
Pcmt1,0
Pcna,0.931710007
Pcnp,2.85373319
Pcyox1,1.301100002
Pcyox1l,0.837066714
Pcyt1a,0.30485001
Pdcd6,0.597356647
